index,Mileage,price,ModelYear,brakes,airbag,camera,controls,speakers,video,bluetooth,alarm,navigations,digital,keyless,heated,leather,armrest,total,Drivetrain,Fuel Type,Transmission,Make,Model
1338,39152.0,28998.0,2014.0,5,9,1,13,3,10,0,2,0,1,1,3,4,3,825,0,3,0,26,358
1339,123464.0,5994.0,2011.0,5,7,0,10,2,4,0,1,1,0,1,2,2,2,777,2,1,0,9,246
1340,51105.0,17740.0,2016.0,5,7,0,11,2,7,0,1,1,1,2,8,3,3,759,3,3,0,11,113
1341,216951.0,10000.0,2011.0,2,3,0,6,1,2,0,1,1,1,0,0,0,0,439,0,3,0,15,184
1342,33652.0,17997.0,2015.0,5,9,1,11,2,6,0,2,1,1,3,0,2,1,844,3,3,0,15,312
1343,18132.0,22859.0,2015.0,6,9,0,14,3,8,0,2,1,1,1,5,6,1,857,1,3,0,10,7
1344,12443.0,57800.0,2015.0,2,4,0,5,1,7,0,0,1,1,0,5,3,0,438,1,3,0,33,378
1345,76568.0,13631.0,2011.0,6,2,0,8,0,3,0,1,0,0,1,1,1,0,427,1,3,0,6,21
1346,47719.0,22488.0,2014.0,2,3,1,8,1,5,0,1,0,1,1,5,5,0,529,1,3,0,6,44
1347,10316.0,23999.0,2017.0,7,2,0,8,1,0,0,0,0,0,1,0,0,0,552,2,3,0,41,335
